run_idx,variant,model,accuracy,f1_weighted,f1_macro,elapsed_sec
1,base,gpt-4o,0.301,0.24673803005937744,0.29738932889864766,655.36
2,base,deepseek,0.392,0.37341617911400826,0.3169483158672894,6234.21
3,self_check,gpt-4o,0.355,0.3380808060425188,0.2865178449770245,1139.84
4,self_check,deepseek,0.381,0.35883422173866125,0.3029957427355619,5951.61
5,sarcasm,gpt-4o,0.259,0.20879833674291218,0.25695934410931326,666.48
6,sarcasm,deepseek,0.388,0.3847369199963322,0.323421875625671,6950.43
7,sarcasm_self_check,gpt-4o,0.344,0.34244942595777933,0.29763620284957865,1162.38
8,sarcasm_self_check,deepseek,0.389,0.3832221635782488,0.32058810375166813,6649.26
9,few_shot,gpt-4o,0.387,0.4004878814355988,0.3909781397296766,662.11
10,few_shot,deepseek,0.393,0.369729535750829,0.30743352839250876,6931.3
11,few_shot_self_check,gpt-4o,0.382,0.37418063125324075,0.3237228730910597,1183.82
12,few_shot_self_check,deepseek,0.422,0.4087137628072411,0.34612110916458744,6985.66
13,few_shot_sarcasm,gpt-4o,0.344,0.3436341090436417,0.34621973952452184,686.49
14,few_shot_sarcasm,deepseek,0.407,0.39923515502546714,0.32858827962588966,7654.47
15,few_shot_sarcasm_self_check,gpt-4o,0.38,0.3776490057436031,0.24229710892576184,1238.45
16,few_shot_sarcasm_self_check,deepseek,0.423,0.4093322525722222,0.33721320892340634,7554.28
17,label_explanation,gpt-4o,0.538,0.5616521197781109,0.5230086604192216,634.4
18,label_explanation,deepseek,0.581,0.5859097377127764,0.5090944713064696,7728.23
19,label_explanation_self_check,gpt-4o,0.544,0.5672958252567234,0.5170772477176931,1377.3
20,label_explanation_self_check,deepseek,0.595,0.602542343324431,0.5244942892907444,7286.29
21,label_explanation_sarcasm,gpt-4o,0.491,0.514317999557689,0.48033666901414335,670.44
22,label_explanation_sarcasm,deepseek,0.597,0.6042317557148178,0.5213456397503881,7145.54
23,label_explanation_sarcasm_self_check,gpt-4o,0.55,0.572823698639827,0.5156023780264638,1461.12
24,label_explanation_sarcasm_self_check,deepseek,0.597,0.5988685607814088,0.5164013442330941,6682.43
25,label_explanation_few_shot,gpt-4o,0.523,0.5493045189115789,0.5082478909696055,706.69
26,label_explanation_few_shot,deepseek,0.601,0.6065279257261789,0.5330487453459988,6744.39
27,label_explanation_few_shot_self_check,gpt-4o,0.561,0.5823525748795689,0.5285448386392617,1409.68
28,label_explanation_few_shot_self_check,deepseek,0.602,0.6027580065906675,0.530492176966641,6551.09
29,label_explanation_few_shot_sarcasm,gpt-4o,0.484,0.5069468422717734,0.4756299647732502,747.92
30,label_explanation_few_shot_sarcasm,deepseek,0.578,0.5828426783854856,0.503250580812557,7459.91
31,label_explanation_few_shot_sarcasm_self_check,gpt-4o,0.54,0.56319008690649,0.5060544954411257,1456.93
32,label_explanation_few_shot_sarcasm_self_check,deepseek,0.571,0.5727924940906558,0.4948803523974552,7027.0
33,domain,gpt-4o,0.341,0.31844943663250197,0.3427981916522172,614.49
34,domain,deepseek,0.396,0.39237426825465355,0.33652763183078066,7484.27
35,domain_self_check,gpt-4o,0.348,0.3334057820977511,0.2168975633175379,1309.61
36,domain_self_check,deepseek,0.379,0.3690118325388801,0.2388550845009389,7063.26
37,domain_sarcasm,gpt-4o,0.342,0.32620868803213116,0.3447849188303605,673.35
38,domain_sarcasm,deepseek,0.431,0.42642140364321,0.3582937030691093,8237.12
39,domain_sarcasm_self_check,gpt-4o,0.356,0.34514448672037573,0.2995894818088075,1805.96
40,domain_sarcasm_self_check,deepseek,0.405,0.40586134729974505,0.34964798695134175,7522.2
41,domain_few_shot,gpt-4o,0.405,0.41681250629459826,0.40872609060556425,721.09
42,domain_few_shot,deepseek,0.406,0.38998412188138365,0.3250432129049748,6948.51
43,domain_few_shot_self_check,gpt-4o,0.388,0.38584335786428653,0.24999001826085293,1695.37
44,domain_few_shot_self_check,deepseek,0.406,0.3913340281829791,0.24594929019664724,6229.72
45,domain_few_shot_sarcasm,gpt-4o,0.352,0.35018216631533017,0.3544178174261208,790.16
46,domain_few_shot_sarcasm,deepseek,0.414,0.409053246996957,0.34054955740700854,6741.51
47,domain_few_shot_sarcasm_self_check,gpt-4o,0.403,0.4093977492261421,0.2673246745406248,1819.11
48,domain_few_shot_sarcasm_self_check,deepseek,0.424,0.41673161088057825,0.3506764190381452,6452.3
49,domain_label_explanation,gpt-4o,0.571,0.5953753371024431,0.548702140196983,700.74
50,domain_label_explanation,deepseek,0.59,0.5983542320817709,0.5235158441028792,7068.21
51,domain_label_explanation_self_check,gpt-4o,0.6,0.6184209111462446,0.5539579134916508,1554.86
52,domain_label_explanation_self_check,deepseek,0.566,0.5841009474001236,0.5135032935032475,7568.18
53,domain_label_explanation_sarcasm,gpt-4o,0.544,0.5709638572021419,0.5229302036543625,711.76
54,domain_label_explanation_sarcasm,deepseek,0.579,0.5833172682664516,0.50606827840141,8302.66
55,domain_label_explanation_sarcasm_self_check,gpt-4o,0.586,0.6003681668410356,0.5381813864804593,1971.13
56,domain_label_explanation_sarcasm_self_check,deepseek,0.571,0.5878950452557209,0.5134533201596073,8001.64
57,domain_label_explanation_few_shot,gpt-4o,0.572,0.6002371465186344,0.5472416896141064,748.74
58,domain_label_explanation_few_shot,deepseek,0.59,0.5955209252644516,0.5222305096201146,7849.2
59,domain_label_explanation_few_shot_self_check,gpt-4o,0.603,0.6232482823621205,0.5550431517905429,3283.47
60,domain_label_explanation_few_shot_self_check,deepseek,0.611,0.6150412151339408,0.542616220196999,8284.15
61,domain_label_explanation_few_shot_sarcasm,gpt-4o,0.518,0.5463051998861859,0.5016064399867216,975.69
62,domain_label_explanation_few_shot_sarcasm,deepseek,0.581,0.5822113144930824,0.5061862982304971,7753.62
63,domain_label_explanation_few_shot_sarcasm_self_check,gpt-4o,0.576,0.5956509205108398,0.5282937808239554,1654.3
64,domain_label_explanation_few_shot_sarcasm_self_check,deepseek,0.597,0.601653783401349,0.5238310548719481,6677.3
65,role,gpt-4o,0.314,0.25808310517478433,0.3077392659426536,699.41
66,role,deepseek,0.409,0.39937881481988347,0.3317766215081733,6772.43
67,role_self_check,gpt-4o,0.331,0.3274013675031344,0.2973462790041523,972.7
68,role_self_check,deepseek,0.408,0.40208384758476384,0.3428946560611701,6182.55
69,role_sarcasm,gpt-4o,0.285,0.246080967823428,0.2845277513534713,734.6
70,role_sarcasm,deepseek,0.405,0.39823251760538175,0.33127964897117496,7954.4
71,role_sarcasm_self_check,gpt-4o,0.34,0.33278631223322985,0.28876532540615707,1483.79
72,role_sarcasm_self_check,deepseek,0.39,0.38325049800225036,0.3254732270503298,7135.62
73,role_few_shot,gpt-4o,0.403,0.41296288676726295,0.4066681606536782,697.85
74,role_few_shot,deepseek,0.404,0.39031910499139416,0.32819583094281896,7583.86
